exhibitor_name,booth,categories
4Dviews,950,3D Modeling; 3D Graphics; 3D Scanning; Augmented Reality - Software and Services; Animation/Film; Education/Training; Immersive System; Streaming Technology; Virtual Reality Software/Hardware; Web 3D
Abstract Group GmbH & Co.KG,718,3D Modeling; 2D Graphics; 3D Graphics; 3D Scanning; Aerospace Applications; Augmented Reality - Software and Services; Automotive Applications; CAD/CAM/CAE/CIM; Animation/Film; Architecture Applications; Artificial Intelligence (AI); Education/Training; Medical Application; Game Engines; Immersive System; Online Network Services; Plug-ins for Software; Rendering & Modeling; Virtual Reality Software/Hardware; Visual Effects Software; Web 3D
Adobe,619,
Aina Tech Inc.,635,3D Modeling; 3D Graphics; 3D Scanning; Animation/Film; Augmented Reality - Software and Services; Artificial Intelligence (AI); Digital Imaging; Game Engines; High Resolution Technologies; Imaging; Immersive System; Motion Capture Software/Hardware; Rendering & Modeling; Streaming Technology; Virtual Reality Software/Hardware; Web 3D
ALLSIDES,850,3D Graphics; 3D Scanning; Digital Imaging; Imaging; Simulation
AlmaLinux OS Foundation,735,Animation/Film; High Performance Graphics Processors; High Resolution Technologies; Input Devices; Multimedia Tools & Applications; Networking Infrastructure; Storage Devices; Workstations
Animation Magazine,524,Animation/Film; Education/Training
asf,736,
ASRock Rack Inc.,721,Artificial Intelligence (AI); Storage Devices
Autodesk,629,
BIND Studio,521,Consulting; Visual Effects Software; Workstations; Multimedia Tools & Applications
"Bolt Graphics, Inc.",651,3D Graphics; Aerospace Applications; Architecture Applications; Data Visualization; Digital Imaging; Engineering Application; Graphics Accelerator Boards-Hardware; High Performance Graphics Processors; High Resolution Technologies; Plug-ins for Software; Rendering & Modeling; Scientific Visualization; Simulation; Streaming Technology; Virtual Reality Software/Hardware; Visual Effects Software
Brigham Young University (BYU) Center for Animation,918,Education/Training
Carnegie Mellon ETC,825,
CenterGrid,534,Animation/Film; Artificial Intelligence (AI); Data Visualization; High Performance Graphics Processors; Networking Infrastructure; Online Network Services; Rendering & Modeling; Workstations
CGTrader,738,3D Modeling; 3D Graphics; Animation/Film; Augmented Reality - Software and Services; Artificial Intelligence (AI); Digital Imaging; Imaging; Immersive System; Multimedia Tools & Applications; Online Network Services; Rendering & Modeling; Virtual Reality Software/Hardware; Web 3D
Chat3D*,845,
Crysta AI,543,3D Modeling; 3D Graphics; 3D Rapid Prototyping; 3D Scanning; Augmented Reality - Software and Services; Artificial Intelligence (AI); Data Visualization; Digital Imaging; Education/Training; Medical Application; Web 3D; Engineering Application; Imaging; Multimedia Tools & Applications; Rendering & Modeling; Scientific Visualization; Simulation
Dell Technologies,713,Mobile Computing; Monitors/Displays/Terminals; Workstations
Drexel University,829,Education/Training
EIZO Inc.,528,Monitors/Displays/Terminals
Emergent Vision Technologies,625,Augmented Reality - Software and Services; Artificial Intelligence (AI); Digital Imaging; Medical Application; High Resolution Technologies; Imaging; Motion Capture Software/Hardware; Virtual Reality Software/Hardware
Faceform,851,3D Graphics; 3D Scanning; Motion Capture Software/Hardware; Visual Effects Software
Foundry,519,3D Graphics; Animation/Film; Artificial Intelligence (AI); Education/Training; Visual Effects Software
Fox Renderfarm,650,3D Modeling; 3D Graphics; Animation/Film; Rendering & Modeling
Framework Computer,624,Aerospace Applications; CAD/CAM/CAE/CIM; Artificial Intelligence (AI); Education/Training; Mobile Computing; Robotics and Gadgets; Workstations
GAMFF,547,3D Graphics; Animation/Film; Artificial Intelligence (AI); Media/Publications; Imaging
GIGABYTE,520,3D Modeling; 3D Graphics; Artificial Intelligence (AI); Data Visualization; Engineering Application; Game Engines; High Performance Graphics Processors; Networking Infrastructure; Rendering & Modeling; Scientific Visualization; Simulation; Storage Devices; Workstations
Greneta Corp.,737,3D Modeling; 3D Graphics; 3D Scanning; Augmented Reality - Software and Services; Automotive Applications; Artificial Intelligence (AI); High Performance Graphics Processors; Mobile Computing; Streaming Technology; Virtual Reality Software/Hardware
Haply Robotics,836,3D Modeling; Automotive Applications; Digital Imaging; Education/Training; Input Devices; Interactive Display Technologies; Motion Capture Software/Hardware; Rendering & Modeling; Robotics and Gadgets; Simulation; Virtual Reality Software/Hardware
HP,513,
Hyper3D,852,3D Modeling; 3D Graphics; Artificial Intelligence (AI); Rendering & Modeling
International Computer Concepts,525,Artificial Intelligence (AI); Graphics Accelerator Boards-Hardware; High Performance Graphics Processors; Networking Infrastructure; Rendering & Modeling; Storage Devices; Workstations
IO Industries Inc.,623,Aerospace Applications; Augmented Reality - Software and Services; Artificial Intelligence (AI); Computer-Video Interfacing; Digital Imaging; High Resolution Technologies; Imaging; Immersive System; Input Devices; Motion Capture Software/Hardware; Storage Devices; Streaming Technology
KeyShot,551,3D Modeling; 3D Graphics; 3D Rapid Prototyping; Rendering & Modeling
Les Tontons Truqueurs*,845,
Lightcraft Technology Inc.,512,3D Graphics; Animation/Film; Artificial Intelligence (AI); Immersive System; Simulation; Virtual Reality Software/Hardware; Visual Effects Software
Lightwheel Limited,729,Robotics and Gadgets; Simulation
LTX,544,Artificial Intelligence (AI); Multimedia Tools & Applications
Luma Labs,652,Artificial Intelligence (AI)
Lumio 3D (SG) Pte. Ltd.,734,3D Scanning; Artificial Intelligence (AI); Medical Application
Marvelous Designer,723,3D Modeling; 3D Graphics; Animation/Film; Rendering & Modeling; Simulation; Visual Effects Software
Maxon Computer Inc,613,3D Modeling; 3D Graphics; Animation/Film; Plug-ins for Software; Rendering & Modeling; Visual Effects Software
METATAILOR,529,3D Modeling; 3D Graphics; Animation/Film; Plug-ins for Software
Metavista3D,553,3D Graphics; Augmented Reality - Software and Services; CAD/CAM/CAE/CIM; Artificial Intelligence (AI); Computer-Video Interfacing; Data Visualization; Digital Imaging; Media/Publications; Eye Tracking Devices; High Performance Graphics Processors; Imaging; Immersive System; Interactive Display Technologies; Monitors/Displays/Terminals; Rendering & Modeling; Scientific Visualization; Simulation; Virtual Reality Software/Hardware; Web 3D
MEXT,618,Artificial Intelligence (AI)
Mocaplab*,845,
Nebius,540,
NVIDIA,813,
Olares Tech Co Ltd,545,3D Modeling; 2D Graphics; 3D Graphics; 3D Rapid Prototyping; Artificial Intelligence (AI); Computer-Video Interfacing; Engineering Application; Game Engines; Graphics Accelerator Boards-Hardware; High Performance Graphics Processors; Mobile Computing; Multimedia Tools & Applications; Networking Infrastructure; Storage Devices; Workstations
OnTheFly*,845,
Ozone,536,
Pavillon France,845,
Phaze,530,CAD/CAM/CAE/CIM; Streaming Technology; Workstations; Game Engines; Multimedia Tools & Applications
Pixar,820,
Puget Systems,557,3D Modeling; 3D Graphics; 2D Graphics; Animation/Film; CAD/CAM/CAE/CIM; Artificial Intelligence (AI); Consulting; Education/Training; Graphics Accelerator Boards-Hardware; High Performance Graphics Processors; Mobile Computing; Rendering & Modeling; Simulation; Storage Devices; Video Effects Equipment; Workstations
Pulze,622,3D Graphics; Architecture Applications; Artificial Intelligence (AI); Multimedia Tools & Applications; Networking Infrastructure; Plug-ins for Software
Quident,637,Aerospace Applications; Augmented Reality - Software and Services; Automotive Applications; Architecture Applications; Artificial Intelligence (AI); Data Visualization; Digital Imaging; Engineering Application; Media/Publications; Game Engines; High Resolution Technologies; Imaging; Immersive System; Interactive Display Technologies; Mobile Computing; Motion Capture Software/Hardware; Multimedia Tools & Applications; Rendering & Modeling; Scientific Visualization; Simulation; Streaming Technology; Virtual Reality Software/Hardware; Visual Effects Software
Rapidata,753,Artificial Intelligence (AI); Consulting; Engineering Application; Online Network Services; Plug-ins for Software
RAVEL,857,Artificial Intelligence (AI)
REEMO*,845,
RigX Digital,751,3D Graphics; 3D Scanning; Aerospace Applications; Augmented Reality - Software and Services; Automotive Applications; Animation/Film; Artificial Intelligence (AI); Medical Application; Game Engines; Multimedia Tools & Applications; Plug-ins for Software; Simulation; Virtual Reality Software/Hardware; Visual Effects Software
"Saltire Software, Inc.",542,2D Graphics; CAD/CAM/CAE/CIM; Artificial Intelligence (AI); Consulting; Engineering Application; Simulation
Savannah College of Art and Design,516,
SideFX,824,3D Modeling; Animation/Film; Education/Training; Rendering & Modeling; Visual Effects Software
SoCreate,921,Animation/Film; Streaming Technology; Immersive System; Motion Capture Software/Hardware; Multimedia Tools & Applications
Sony,643,
Steg.AI,834,Architecture Applications; Artificial Intelligence (AI); Multimedia Tools & Applications
"Texas A&M University - College of Performance, Visualization & Fine Arts",819,Animation/Film; Education/Training
The Ohio State University,823,Animation/Film; Data Visualization; Education/Training; Scientific Visualization
tradeline llc,523,3D Graphics
Tripo AI,743,3D Modeling; 3D Graphics; 3D Rapid Prototyping; Animation/Film; Augmented Reality - Software and Services; Automotive Applications; Artificial Intelligence (AI); Game Engines; Immersive System; Plug-ins for Software; Rendering & Modeling; Virtual Reality Software/Hardware; Web 3D; Workstations
Tsinghua University Press Ltd.,620,CAD/CAM/CAE/CIM; Artificial Intelligence (AI); Computer-Video Interfacing; Imaging; Multimedia Tools & Applications
Wacom Technology Corporation,642,3D Modeling; 2D Graphics; 3D Graphics; CAD/CAM/CAE/CIM; Animation/Film; Computer-Video Interfacing; Digital Imaging; Education/Training; Input Devices; Multimedia Tools & Applications; Interactive Display Technologies; Mobile Computing; Monitors/Displays/Terminals; Video Effects Equipment
WiCi,522,3D Graphics; CAD/CAM/CAE/CIM; Artificial Intelligence (AI); Graphics Accelerator Boards-Hardware; High Performance Graphics Processors; Networking Infrastructure
XGRIDS LIMITED,722,3D Modeling; 3D Graphics; 3D Scanning; Augmented Reality - Software and Services; Artificial Intelligence (AI); Computer-Video Interfacing; Data Visualization; Digital Imaging; Engineering Application; Game Engines; Geographic Information Systems Software; Imaging; Immersive System; Interactive Display Technologies; Multimedia Tools & Applications; Plug-ins for Software; Rendering & Modeling; Scientific Visualization; Simulation; Streaming Technology; Virtual Reality Software/Hardware; Visual Effects Software; Web 3D
XIMEA,725,3D Scanning; Aerospace Applications; Digital Imaging; High Resolution Technologies; Imaging; Motion Capture Software/Hardware; Streaming Technology